"TSLA - Tesla, Inc."
Date,Open,High,Low,Close*,Adj Close**,Volume
"Dec 21, 2018",317.40,323.47,312.44,319.77,319.77,"7,998,100"
"Dec 20, 2018",327.05,330.29,311.87,315.38,315.38,"9,071,900"
"Dec 19, 2018",337.60,347.01,329.74,332.97,332.97,"8,274,200"
"Dec 18, 2018",350.54,351.55,333.69,337.03,337.03,"7,100,000"
"Dec 17, 2018",362.00,365.70,343.88,348.42,348.42,"7,674,000"
"Dec 14, 2018",375.00,377.87,364.33,365.71,365.71,"6,337,600"
"Dec 13, 2018",370.15,377.44,366.75,376.79,376.79,"7,365,900"
"Dec 12, 2018",369.42,371.91,365.16,366.60,366.60,"5,027,000"
"Dec 11, 2018",369.91,372.17,360.23,366.76,366.76,"6,308,800"
"Dec 10, 2018",360.00,365.98,353.12,365.15,365.15,"6,613,500"
"Dec 07, 2018",369.00,379.49,357.65,357.97,357.97,"11,511,200"
"Dec 06, 2018",356.01,367.38,350.76,363.06,363.06,"7,842,500"
"Dec 04, 2018",356.05,368.68,352.00,359.70,359.70,"8,461,900"
"Dec 03, 2018",360.00,366.00,352.00,358.49,358.49,"8,306,500"
"Nov 30, 2018",341.83,351.60,338.26,350.48,350.48,"5,629,100"
"Nov 29, 2018",347.00,347.50,339.55,341.17,341.17,"3,080,700"
"Nov 28, 2018",345.99,348.28,342.21,347.87,347.87,"4,127,600"
"Nov 27, 2018",340.05,346.96,335.50,343.92,343.92,"6,358,300"
"Nov 26, 2018",325.00,346.22,325.00,346.00,346.00,"7,979,300"
"Nov 23, 2018",334.35,337.50,325.55,325.83,325.83,"4,202,600"
"Nov 21, 2018",352.00,353.10,337.40,338.19,338.19,"4,686,800"
"Nov 20, 2018",341.75,349.80,333.55,347.49,347.49,"8,004,700"
"Nov 19, 2018",356.34,366.75,352.88,353.47,353.47,"9,708,900"
"Nov 16, 2018",345.19,355.70,345.12,354.31,354.31,"7,206,200"
"Nov 15, 2018",342.33,348.58,339.04,348.44,348.44,"4,625,700"
"Nov 14, 2018",342.70,347.11,337.15,344.00,344.00,"5,040,300"
"Nov 13, 2018",333.16,344.70,332.20,338.73,338.73,"5,448,600"
"Nov 12, 2018",348.37,349.78,330.34,331.28,331.28,"6,941,500"
"Nov 09, 2018",349.00,354.00,345.23,350.51,350.51,"5,098,800"
"Nov 08, 2018",348.50,357.58,348.44,351.40,351.40,"7,090,700"
"Nov 07, 2018",343.34,351.18,340.80,348.16,348.16,"7,374,500"
"Nov 06, 2018",339.07,348.80,336.09,341.06,341.06,"6,762,900"
"Nov 05, 2018",340.50,343.96,330.14,341.40,341.40,"7,831,000"
"Nov 02, 2018",343.74,349.20,340.91,346.41,346.41,"7,808,000"
"Nov 01, 2018",338.26,347.84,334.73,344.28,344.28,"8,000,100"
"Oct 31, 2018",332.54,342.00,329.10,337.32,337.32,"7,624,300"
"Oct 30, 2018",328.39,337.90,322.26,329.90,329.90,"9,126,700"
"Oct 29, 2018",337.47,347.16,326.50,334.85,334.85,"14,486,000"
"Oct 26, 2018",308.25,339.90,306.65,330.90,330.90,"27,425,500"
"Oct 25, 2018",317.22,321.00,301.01,314.86,314.86,"20,840,700"
"Oct 24, 2018",301.05,304.44,285.73,288.50,288.50,"20,058,300"
"Oct 23, 2018",263.87,297.93,262.10,294.14,294.14,"19,027,800"
"Oct 22, 2018",260.68,261.86,252.59,260.95,260.95,"5,600,300"
"Oct 19, 2018",267.39,269.66,253.50,260.00,260.00,"9,375,500"
